lecture,topics,readings,handouts
Intro to ML Decision Trees,"[{'name': 'Machine learning examples'}, {'name': 'Well defined machine learning problem'}, {'name': 'Decision tree learning'}]","[{'name': 'The Discipline of Machine Learning', 'link': 'http://www.cs.cmu.edu/%7Etom/pubs/MachineLearning.pdf'}, {'name': 'Mitchell: Ch 3 Bishop: Ch 14.4', 'link': None}]","[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/01_DTreesAndOverfitting-1-12-2015.pdf'}, {'name': 'Video', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/video/1.html'}]"
Decision Tree learning Review of Probability,"[{'name': 'The big picture'}, {'name': 'Overfitting'}, {'name': 'Random variables and probabilities'}]","[{'name': ""Andrew Moore's Basic Probability Tutorial"", 'link': 'http://www.autonlab.org/tutorials/prob18.pdf'}, {'name': 'Mitchell: Ch 3', 'link': None}]","[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/02_Overfitting_ProbReview-1-14-2015.pdf'}, {'name': 'Annotated Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/02_Overfitting_ProbReview-1-14-2015_ann.pdf'}, {'name': 'Video', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/video/2.html'}]"
Probability and Estimation,"[{'name': 'Bayes rule'}, {'name': 'MLE'}, {'name': 'MAP'}]","[{'name': 'Estimating Probabilities', 'link': 'http://www.cs.cmu.edu/%7Etom/mlbook/Joint_MLE_MAP.pdf'}, {'name': 'Mitchell:', 'link': None}]","[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/03_MLE_MAP_NBayes-1-21-2015.pdf'}, {'name': 'Annotated Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/03_MLE_MAP_NBayes-1-21-2015_ann.pdf'}, {'name': 'Video', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/video/3.html'}]"
Naive Bayes,"[{'name': 'Conditional Independence'}, {'name': 'Naive Bayes: why and how'}]","[{'name': 'Naive Bayes and Logistic Regression', 'link': 'http://www.cs.cmu.edu/%7Etom/mlbook/NBayesLogReg.pdf'}, {'name': 'Mitchell:', 'link': None}]","[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/04_NBayes-1-26-2015.pptx.pdf'}, {'name': 'Annotated Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/04_NBayes-1-26-2015-ann.pdf'}, {'name': 'Video', 'link': 'http://youtu.be/ngKU5466i4o'}]"
Gaussian Naive Bayes,"[{'name': 'Gaussian Bayes classifiers'}, {'name': 'Document Classification'}, {'name': 'Brain image classification'}, {'name': 'Form of decision surfaces'}]","[{'name': 'Naive Bayes and Logistic Regression', 'link': 'http://www.cs.cmu.edu/%7Etom/mlbook/NBayesLogReg.pdf'}, {'name': 'Mitchell:', 'link': None}]","[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/05_GNB_1-28-2015.pdf'}, {'name': 'Annotated Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/05_GNB_1-28-2015-ann.pdf'}, {'name': 'Video', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/video/5.html'}]"
Logistic Regression,"[{'name': 'Naive Bayes - the big picture'}, {'name': 'Logistic Regression: Maximizing conditional likelihood'}, {'name': 'Gradient ascent as a general learning/optimization method'}]","[{'name': 'Naive Bayes and Logistic Regression', 'link': 'http://www.cs.cmu.edu/%7Etom/mlbook/NBayesLogReg.pdf'}, {'name': 'Mitchell:', 'link': None}]","[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/06_GenDiscr_LR_2-2-2015.pdf'}, {'name': 'Annotated Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/06_GenDiscr_LR_2-2-2015-ann.pdf'}, {'name': 'Video', 'link': 'http://youtu.be/z_xPu9KrgCY'}]"
Linear Regression,"[{'name': 'Generative/Discriminative models'}, {'name': 'Minimizing squared error and maximizing data likelihood'}, {'name': 'Regularization'}, {'name': 'Bias-variance decomposition'}]",[],"[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/07_GenDiscr2_2-4-2015.pdf'}, {'name': 'Annotated Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/07_GenDiscr2_2-4-2015-ann.pdf'}, {'name': 'Video', 'link': 'http://youtu.be/wA5h9pD1qrU'}]"
Learning Theory I,"[{'name': 'Distributional Learning'}, {'name': 'PAC and Statistical Learning Theory'}, {'name': 'Sample Complexity'}]","[{'name': 'Notes on Generalization Guarantees', 'link': 'sc-2015.pdf'}, {'name': 'Mitchell: Ch 7', 'link': None}]","[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/08_Theory_2-9-2015.pdf'}, {'name': 'Video', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/video/8.html'}]"
Learning Theory II,"[{'name': 'Sample Complexity'}, {'name': 'Shattering and VC Dimension'}, {'name': ""Sauer's Lemma""}]","[{'name': 'Notes on Generalization Guarantees', 'link': 'sc-2015.pdf'}, {'name': 'Mitchell: Ch 7', 'link': None}]","[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/09_Theory2_2-11-2015.pdf'}, {'name': 'Video', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/video/9.html'}]"
Learning Theory III,"[{'name': 'Rademacher Complexity'}, {'name': 'Overfitting and Regularization'}]",[],"[{'name': 'Slides', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/10_Theory3_2-16-2015.pdf'}, {'name': 'Video', 'link': 'https://www.cs.cmu.edu/~ninamf/courses/601sp15/video/10.html'}]"
